CommitteeID,CommitteeName,ContributedBy,RcvdDate,Amount,LoanAmount,Occupation,Employer,Address1,Address2,City,State,Zip,D2Part,Description,VendorName,VendorAddress1,VendorAddress2,VendorCity,VendorState,VendorZip,DocName,Election,RptPdBegDate,RptPdEndDate,FiledRcvdDate

4290,"Rosemont Voters League","Monterrey Security","3/13/2026",1750,0,"","","2232 S. Blue Island Ave.","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","1/1/2026","3/31/2026","4/15/2026"
32625,"Keeping Oak Lawn First","Monterrey Security","1/14/2021",280,0,"","","2232 S. Blue Island","","Oak Lawn","IL","60453     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","1/1/2021","3/31/2021","4/15/2021"
32062,"36th Ward PAC","Monterrey Security","1/25/2020",2500,0,"","","2232 S Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","1/1/2020","3/31/2020","4/15/2020"
32625,"Keeping Oak Lawn First","Monterrey Security","12/10/2019",280,0,"","","2232 S. Blue Island","","Oak Lawn","IL","60453     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","10/1/2019","12/31/2019","3/8/2020"
32443,"Friends for Anna Valencia","Monterrey Security","6/30/2018",5000,0,"","","2232 S. Blue Island Ave.","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","4/1/2018","6/30/2018","7/11/2018"
4290,"Rosemont Voters League","Monterrey Security","3/4/2016",1250,0,"","","2232 S. Blue Island Ave.","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","1/1/2016","3/31/2016","5/4/2017"
26168,"Friends of Susan Sadlowski Garza","Monterrey Security","1/8/2016",2500,0,"","","2232 South Blue Island Avenue","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","1/1/2016","3/31/2016","10/15/2023"
12503,"Citizens for Edward Acevedo","Monterrey Security","4/22/2013",1000,0,"","","2232 S. Blue Island","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","4/1/2013","6/30/2013","7/12/2013"
17290,"Friends of George A. Cardenas","Monterrey Security Consulants Inc","9/8/2015",1500,0,"","","2232 South Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","7/1/2015","9/30/2015","1/5/2019"
17290,"Friends of George A. Cardenas","Monterrey Security Consulants Inc","8/15/2014",1000,0,"","","2232 South Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","7/1/2014","9/30/2014","7/17/2017"
17290,"Friends of George A. Cardenas","Monterrey Security Consulants Inc","1/26/2013",1500,0,"","","2232 South Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","1/1/2013","3/31/2013","4/27/2014"
11884,"Citizens for Carrie M Austin-Alderman 34th Ward","Monterrey Security Consultant","2/14/2003",200,0,,,"PO Box 388194",,"Chicago","IL","60638     ","Individual Contribution",,,,,,,,"Semiannual"," ","1/1/2003","6/30/2003","9/9/2003"
23775,"Friends of Tabares","Monterrey Security Consultant Inc.","12/21/2011",1000,0,"","","2232 S. Blue Island","","chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","10/1/2011","12/31/2011","1/17/2012"
37013,"Community for Ruth Gudino","Monterrey Security Consultants","3/14/2022",7500,0,"","","2232 S. Blue Island","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","1/1/2022","3/31/2022","1/17/2023"
16416,"Friends of Martin A Sandoval","Monterrey Security Consultants","12/1/2016",1000,0,"","","2232 S. Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","10/1/2016","12/31/2016","1/17/2017"
16416,"Friends of Martin A Sandoval","Monterrey Security Consultants","9/26/2016",1000,0,"","","2232 S. Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","7/1/2016","9/30/2016","10/15/2016"
16416,"Friends of Martin A Sandoval","Monterrey Security Consultants","9/24/2015",1000,0,"","","2232 S. Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","7/1/2015","9/30/2015","1/15/2016"
16416,"Friends of Martin A Sandoval","Monterrey Security Consultants","10/7/2012",1500,0,"","","2232 S. Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","10/1/2012","12/31/2012","1/15/2013"
15421,"25th Ward Regular Democratic Organization","Monterrey Security Consultants","6/12/2009",1500,0,"","","PO Box 388194","","Chicago","IL","60638     ","Individual Contribution","","","","","","  ","          ","Semiannual","       ","1/1/2009","6/30/2009","7/20/2009"
15421,"25th Ward Regular Democratic Organization","Monterrey Security Consultants","2/8/2009",1500,0,"","","PO Box 388194","","Chicago","IL","60638     ","Individual Contribution","","","","","","  ","          ","Semiannual","       ","1/1/2009","6/30/2009","7/20/2009"
15421,"25th Ward Regular Democratic Organization","Monterrey Security Consultants","5/18/2001",1000,0,,,"PO Box 388194",,"Chicago","IL","60638     ","Individual Contribution",,,,,,,,"Semiannual"," ","1/1/2001","6/30/2001","1/5/2002"
12214,"27th Ward Reg Democratic Org","Monterrey Security Consultants Inc","11/28/2017",170,0,"","","2232 S Blue Island Ave","","Chciago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","10/1/2017","12/31/2017","1/16/2018"
14093,"Citizens for Steve Landek","Monterrey Security Consultants Inc","3/22/2007",500,0,,,"2232 South Blue Island Ave",,"Chicago","IL","60608     ","Individual Contribution",,,,,,,,"Semiannual"," ","1/1/2007","6/30/2007","7/18/2007"
12260,"Citizens for Danny Solis","Monterrey Security Consultants Inc","2/18/2003",200,0,,,"P.O. Box 388194",,"Chicago","IL","60638     ","Individual Contribution",,,,,,,,"Semiannual"," ","1/1/2003","6/30/2003","7/30/2003"
15112,"Committee to Elect Matlak","Monterrey Security Consultants Inc","2/13/2003",200,0,,,"PO Box 388194",,"Chicago","IL","60638     ","Individual Contribution",,,,,,,,"Semiannual"," ","1/1/2003","6/30/2003","7/30/2003"
12260,"Citizens for Danny Solis","Monterrey Security Consultants Inc","10/6/2000",1000,0,,,"P.O. Box 388194",,"Chicago","IL","60638     ","Individual Contribution",,,,,,,,"Semiannual"," ","7/1/2000","12/31/2000","1/31/2001"
11710,"I Like "Ike" Campaign Comm","MONTERREY SECURITY CONSULTANTS INC","1/29/2003",200,0,,,"P.O. BOX 388194",,"CHICAGO","IL","60638     ","Individual Contribution",,,,,,,,"Semiannual","       ","1/1/2003","6/30/2003","5/20/2007"
11430,"Citizens for Christine Radogno","Monterrey Security Consultants Inc.","8/7/2014",1000,0,"","","2232 South Blue Island","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","7/1/2014","9/30/2014","10/15/2014"
11430,"Citizens for Christine Radogno","Monterrey Security Consultants Inc.","10/6/2010",1500,0,"","","2232 South Blue Island","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Semiannual","       ","7/1/2010","12/31/2010","1/20/2011"
15366,"Friends of Blagojevich","Monterrey Security Consultants Inc.","5/10/2005",1000,0,,,"2232 South Blude Island Avenue",,"Chicago","IL","60608     ","Individual Contribution",,,,,,,,"Semiannual"," ","1/1/2005","6/30/2005","1/31/2006"
